epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,25672.4,1.22271,0.79094,0.0108,0.03831,0.78194,0.60212,0.64927,0.50021,1.10506,1.22679,0.01798,0.02627,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,26047.8,1.23005,0.79568,0.01043,0.03867,0.7431,0.62848,0.65064,0.50117,1.10557,1.22559,0.01795,0.02635,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,26390.5,1.22664,0.77926,0.01053,0.03879,0.74025,0.62998,0.65041,0.50141,1.10475,1.22443,0.01793,0.02628,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,26732.6,1.21917,0.76897,0.01046,0.03812,0.75283,0.61657,0.65102,0.50201,1.10376,1.22443,0.01791,0.02643,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,27073.9,1.22115,0.77965,0.01043,0.03744,0.78101,0.60589,0.65101,0.50244,1.10323,1.2236,0.0179,0.0265,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,27417.7,1.23571,0.7834,0.01068,0.03776,0.78401,0.60475,0.65096,0.50253,1.10313,1.22393,0.01788,0.02633,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,27748.8,1.2171,0.76903,0.01061,0.03769,0.78286,0.60433,0.65138,0.50248,1.10304,1.22329,0.01788,0.02623,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,28093.3,1.21641,0.76929,0.01066,0.03703,0.7761,0.60849,0.6516,0.50312,1.10241,1.22346,0.01788,0.02623,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,28428.7,1.20546,0.76021,0.01054,0.03694,0.77138,0.61212,0.65087,0.50292,1.10231,1.22375,0.01788,0.02612,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,28755.3,1.21168,0.76726,0.01083,0.03759,0.77334,0.61149,0.65084,0.50308,1.10232,1.22388,0.01788,0.02618,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,29083.8,1.19261,0.73939,0.01054,0.03625,0.78127,0.60604,0.65146,0.50322,1.10188,1.22328,0.01787,0.02625,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,29412,1.19957,0.74791,0.0108,0.03675,0.77869,0.60805,0.65176,0.50359,1.10175,1.22267,0.01788,0.02613,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,29735.7,1.18878,0.74819,0.01087,0.03535,0.77399,0.6101,0.65155,0.5036,1.1023,1.22191,0.01788,0.02616,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,30063.6,1.1893,0.73894,0.01075,0.03558,0.7777,0.60902,0.65174,0.50396,1.10199,1.22251,0.01789,0.02607,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,30393.1,1.19116,0.73683,0.01032,0.03569,0.78048,0.60786,0.65148,0.50369,1.10208,1.22241,0.01788,0.026,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,30721.8,1.19673,0.73938,0.01074,0.03641,0.78209,0.60568,0.65173,0.5033,1.10224,1.22235,0.01788,0.02596,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,31049,1.18677,0.74008,0.01079,0.03566,0.78589,0.60513,0.65122,0.50314,1.10239,1.22214,0.01789,0.02587,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,31384.1,1.17743,0.72248,0.0105,0.03561,0.77945,0.60786,0.65122,0.50326,1.10212,1.22146,0.01788,0.02583,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,31723.8,1.18744,0.73238,0.01059,0.03581,0.78021,0.60847,0.65147,0.50357,1.10239,1.22146,0.01786,0.02579,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,32065.4,1.17065,0.71283,0.01088,0.03392,0.79673,0.60368,0.65093,0.50316,1.10191,1.22148,0.01787,0.02587,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,32403.1,1.18135,0.72156,0.01065,0.03631,0.79384,0.60638,0.65121,0.50364,1.10193,1.2232,0.01789,0.02593,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,32743.7,1.17197,0.71465,0.01053,0.03483,0.79105,0.60696,0.65043,0.50366,1.10175,1.22328,0.01788,0.02588,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,33086,1.18062,0.72528,0.01066,0.03483,0.78887,0.60789,0.65051,0.50376,1.10206,1.22389,0.01789,0.02578,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,33428,1.18343,0.72281,0.01063,0.03557,0.78649,0.60888,0.65065,0.50377,1.10195,1.22293,0.01787,0.02575,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,33765.5,1.16316,0.70605,0.0109,0.03385,0.78184,0.61266,0.64889,0.50237,1.10097,1.22362,0.01786,0.02578,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,34093.2,1.1546,0.69769,0.01079,0.03359,0.78001,0.61184,0.64744,0.50166,1.10106,1.22445,0.01787,0.02576,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,34431.5,1.14585,0.69242,0.01076,0.03264,0.78297,0.61218,0.64764,0.50159,1.10073,1.22437,0.01787,0.0257,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,34773.5,1.15874,0.6957,0.01073,0.03341,0.78336,0.61098,0.64707,0.50136,1.10067,1.22436,0.01788,0.0257,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,35111.5,1.14445,0.69174,0.0105,0.03404,0.78502,0.61151,0.64691,0.50127,1.10107,1.22542,0.01788,0.02572,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,35451.1,1.16009,0.6954,0.01107,0.03438,0.78265,0.61135,0.64626,0.50104,1.10071,1.22508,0.01788,0.02561,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,35788.6,1.15508,0.6919,0.01087,0.03373,0.78584,0.61053,0.646,0.50123,1.10064,1.224,0.01788,0.02559,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,36126.9,1.13397,0.68341,0.01084,0.03267,0.78847,0.611,0.64605,0.5017,1.09943,1.22375,0.01787,0.02549,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,36466.1,1.14992,0.68944,0.01075,0.03347,0.78808,0.61106,0.64617,0.50137,1.09915,1.22309,0.01787,0.02555,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,36805.9,1.14666,0.68195,0.0107,0.03319,0.78756,0.61052,0.64532,0.50088,1.09934,1.22292,0.01788,0.02545,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,37146.7,1.1357,0.67326,0.01071,0.03201,0.79154,0.61011,0.64783,0.50291,1.09915,1.22299,0.01789,0.02556,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,37490.2,1.12755,0.66011,0.01053,0.03198,0.79241,0.61008,0.64766,0.50277,1.09894,1.22291,0.01788,0.02552,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,37835.1,1.15325,0.67806,0.01036,0.0327,0.78986,0.60986,0.64796,0.50291,1.09912,1.22253,0.01789,0.02545,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,38175.4,1.1268,0.66907,0.01076,0.0326,0.79,0.60961,0.64733,0.50253,1.09876,1.22252,0.01789,0.0255,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,38514.4,1.13874,0.66723,0.01033,0.03181,0.78881,0.61044,0.64699,0.50248,1.09886,1.22263,0.0179,0.02552,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
